Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3
OX1 1AA,Yes,51.750231,-1.267367,450673,205980,SP506059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2011-11-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,59,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00172573,E14000873,5004,1,1,2021-09-22,"Oxford",0.410366,OX,OX1,"Thames Valley","Thames Water",9C3WQP2M+33,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AB,Yes,51.751023,-1.258836,451261,206074,SP512060,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1987-10-01,,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008A","Urban city and town",South East,71,,E01028521,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145303,E14000873,21643,1,1,2021-09-22,"Oxford",0.825623,OX,OX1,"Thames Valley","Thames Water",9C3WQP2R+CF,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AD,Yes,51.758377,-1.273059,450271,206882,SP502068,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford West and Abingdon",2004-10-01,,"Oxford, unparished area","",161,29,"","","Oxford 009D","Rural town and fringe",South East,57,,E01028551,Oxfordshire,E02005948,"Osney, Jericho & Port Meadow",E43000128,E00172585,E14000874,18117,1,0,2021-09-22,"Oxford",0.57799,OX,OX1,"Thames Valley","Thames Water",9C3WQP5G+9Q,58500,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AE,Yes,51.758644,-1.272707,450295,206912,SP502069,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford West and Abingdon",2004-10-01,,"Oxford, unparished area","",9,5,"","","Oxford 009D","Rural town and fringe",South East,57,,E01028551,Oxfordshire,E02005948,"Osney, Jericho & Port Meadow",E43000128,E00172585,E14000874,18117,1,0,2021-09-22,"Oxford",0.598366,OX,OX1,"Thames Valley","Thames Water",9C3WQP5G+FW,58500,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AF,Yes,51.758719,-1.273112,450267,206920,SP502069,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford West and Abingdon",2004-10-01,,"Oxford, unparished area","",54,27,"","","Oxford 009D","Rural town and fringe",South East,57,,E01028551,Oxfordshire,E02005948,"Osney, Jericho & Port Meadow",E43000128,E00172585,E14000874,18117,1,0,2021-09-22,"Oxford",0.614986,OX,OX1,"Thames Valley","Thames Water",9C3WQP5G+FQ,58500,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AG,Yes,51.756899,-1.272518,450310,206718,SP503067,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford West and Abingdon",2008-04-01,,"Oxford, unparished area","",21,10,"","","Oxford 009D","Urban city and town",South East,58,,E01028551,Oxfordshire,E02005948,"Osney, Jericho & Port Meadow",E43000128,E00172587,E14000874,18117,1,0,2021-09-22,"Oxford",0.4116,OX,OX1,"Thames Valley","Thames Water",9C3WQP4G+QX,58500,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AH,No,51.749826,-1.261492,451079,205939,SP510059,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",1994-05-01,1998-12-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,63,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145307,E14000873,5004,6,1,2021-09-22,"Oxford",0.722054,OX,OX1,"Thames Valley","",9C3WPPXQ+WC,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AJ,No,51.759417,-1.269725,450500,207000,SP504070,"Oxfordshire","Oxford","Carfax & Jericho",E07000178,E05013098,England,E10000025,"Oxford West and Abingdon",1995-01-01,1995-07-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 009C","Urban city and town",South East,60,,E01028550,Oxfordshire,E02005948,"Osney, Jericho & Port Meadow",E43000128,E00145449,E14000874,19598,8,1,2021-09-22,"Oxford",0.658564,OX,OX1,"Thames Valley","",9C3WQP5J+Q4,58500,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AL,No,51.758482,-1.263944,450900,206900,SP509069,"Oxfordshire","Oxford","Carfax & Jericho",E07000178,E05013098,England,E10000025,"Oxford West and Abingdon",1987-04-01,1994-05-01,"Oxford, unparished area","",,,"Oxford","Oxford","Oxford 009C","Urban city and town",South East,65,,E01028550,Oxfordshire,E02005948,"Osney, Jericho & Port Meadow",E43000128,E00145438,E14000874,19598,8,1,2021-09-22,"Oxford",0.699539,OX,OX1,"Thames Valley","",9C3WQP5P+9C,58500,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
OX1 1AN,Yes,51.749254,-1.259803,451196,205877,SP511058,"Oxfordshire","Oxford","Osney & St Thomas",E07000178,E05013111,England,E10000025,"Oxford East",2009-04-01,,"Oxford, unparished area","",16,13,"Oxford","Oxford","Oxford 008B","Urban city and town",South East,61,,E01028522,Oxfordshire,E02005947,"Oxford Central",E43000128,E00145307,E14000873,5004,1,0,2021-09-22,"Oxford",0.853939,OX,OX1,"Thames Valley","Thames Water",9C3WPPXR+P3,36100,"","Oxford","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC"
