Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3
RG14 1AA,Yes,51.402107,-1.324501,447086,167225,SU470672,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-07-01,,"Newbury","",9,4,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,79,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082570,E14000830,17784,1,0,2021-09-22,"Newbury",0.508152,RG,RG14,"Thames Valley","Thames Water",9C3WCM2G+R5,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AB,No,51.400991,-1.325759,447000,167100,SU469670,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-07-01,1996-06-01,"Newbury","",,,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,78,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082572,E14000830,17784,8,1,2021-09-22,"Newbury",0.422131,RG,RG14,"Thames Valley","Thames Water",9C3WCM2F+9M,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AD,No,51.402786,-1.325085,447045,167300,SU470673,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-07-01,2000-06-01,"Newbury","",,,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,79,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082572,E14000830,17784,1,1,2021-09-22,"Newbury",0.591179,RG,RG14,"Thames Valley","",9C3WCM3F+4X,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AE,Yes,51.403340,-1.324685,447072,167362,SU470673,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-07-01,,"Newbury","",,,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,78,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082572,E14000830,17784,1,0,2021-09-22,"Newbury",0.644801,RG,RG14,"Thames Valley","Thames Water",9C3WCM3G+84,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AF,Yes,51.403039,-1.325269,447032,167328,SU470673,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-07-01,,"Newbury","",,,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,79,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082572,E14000830,17784,1,0,2021-09-22,"Newbury",0.621665,RG,RG14,"Thames Valley","Thames Water",9C3WCM3F+6V,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AG,Yes,51.406824,-1.333135,446481,167744,SU464677,"","West Berkshire","Newbury Speen",E06000037,E05012144,England,E99999999,"Newbury",2008-04-01,,"Newbury","",10,6,"Newbury/Thatcham","Newbury","West Berkshire 012B","Urban city and town",South East,93,,E01016311,,E02003378,"Newbury North West",E04001207,E00082396,E14000830,29722,1,0,2021-09-22,"Newbury",1.24357,RG,RG14,"Thames Valley","Thames Water",9C3WCM48+PP,49100,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AH,Yes,51.404340,-1.324847,447060,167473,SU470674,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-07-01,,"Newbury","",,,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,78,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082570,E14000830,17784,1,0,2021-09-22,"Newbury",0.756043,RG,RG14,"Thames Valley","Thames Water",9C3WCM3G+P3,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AJ,Yes,51.402217,-1.324734,447070,167237,SU470672,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-12-01,,"Newbury","",,,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,79,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082570,E14000830,17784,1,0,2021-09-22,"Newbury",0.523841,RG,RG14,"Thames Valley","Thames Water",9C3WCM2G+V4,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AL,Yes,51.403650,-1.325188,447037,167396,SU470673,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-07-01,,"Newbury","",,,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,79,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082572,E14000830,17784,1,0,2021-09-22,"Newbury",0.685966,RG,RG14,"Thames Valley","Thames Water",9C3WCM3F+FW,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
RG14 1AN,Yes,51.404809,-1.325171,447037,167525,SU470675,"","West Berkshire","Newbury Central",E06000037,E05012141,England,E99999999,"Newbury",1995-07-01,,"Newbury","",9,6,"Newbury/Thatcham","Newbury","West Berkshire 019C","Urban city and town",South East,80,,E01016347,,E02003385,"Newbury Central & Greenham",E04001207,E00082570,E14000830,17784,1,0,2021-09-22,"Newbury",0.811474,RG,RG14,"Thames Valley","Thames Water",9C3WCM3F+WW,54600,"","Newbury","Berkshire, Buckinghamshire and Oxfordshire","Berkshire"
